session_run_id,date,runtime,model_label,session_id,linked_operator_run_ids,objective,started_at,ended_at,elapsed_min,actual_input_tokens,actual_cache_creation_tokens,actual_cache_read_tokens,actual_output_tokens,actual_reasoning_tokens,total_tokens,estimated_cost_usd,extraction_method,confidence,notes
session-claude-task-2026-07-23-a14a1e88,2026-07-23,claude,claude-sonnet-5,e42a9ddd-4039-4bd4-9e72-8f030d851455,,duplicate-source detection and queue maintenance pass,2026-07-23T10:44:41.964Z,2026-07-23T14:17:16.705Z,212.58,59773,1840674,281378799,515789,0,283795035,99.232321,claude_log,high,
session-claude-2026-07-24-931cd56d,2026-07-24,claude,claude-sonnet-5,d3f2ea66-9c78-4c6e-b1d7-810c0a03e4cb,,"visual-evidence-intake: organize project QA-automation screenshots, correct framework-tech label, capture measured coverage matrix, update project/individual docs, evidence_log/action_items follow-up, cascade closure, mirror snapshot",2026-07-24T05:49:09.913Z,2026-07-24T09:08:08.516Z,198.98,24004,940419,44630372,192008,0,45786803,19.867815,claude_log,high,corrected model_label from claude-fable-5 to claude-sonnet-5 (auto-extraction confirmed against session log) and recomputed estimated_cost_usd accordingly - 2026-07-24
session-claude-2026-07-24-096e3c91,2026-07-24,claude,claude-sonnet-5,d3f2ea66-9c78-4c6e-b1d7-810c0a03e4cb,,"project-knowledge-intake: create a project Project Knowledge lane (knowledge base, source index, summary, test plan, test strategy) from existing management docs and a visual-evidence bundle, trim project-level technical detail out of a person development plan and cross-reference the new lane, cascade closure and mirror snapshot",2026-07-24T05:49:09.913Z,2026-07-24T10:02:56.790Z,253.78,24360,1247520,111866856,367063,0,113505799,43.817282,claude_log,high,corrected model_label from claude-fable-5 to claude-sonnet-5 (auto-extraction confirmed against session log) and recomputed estimated_cost_usd accordingly - 2026-07-24
session-claude-2026-07-24-311d1703,2026-07-24,claude,claude-sonnet-5,d3f2ea66-9c78-4c6e-b1d7-810c0a03e4cb,,"visual-evidence-intake: organize one chat screenshot, resolve a project-identity conflict with the user, extract candidate-search facts, update project development plan and action items, fix a leftover stale automation-status line, cascade closure and mirror snapshot",2026-07-24T05:49:09.913Z,2026-07-24T11:51:21.195Z,362.19,24620,2315938,177836054,466360,0,180642972,69.104844,claude_log,high,
session-claude-2026-07-24-d49caf3a,2026-07-24,claude,claude-sonnet-5,d3f2ea66-9c78-4c6e-b1d7-810c0a03e4cb,,"admin-note-intake: map two HRM-shape person cards by hand into the people registry, check for existing-row conflicts, resolve cascade closure as no_change with reasons, mirror snapshot",2026-07-24T05:49:09.913Z,2026-07-24T12:09:31.930Z,380.37,24694,2368071,199387589,496462,0,202276816,76.217555,claude_log,high,
session-claude-2026-07-24-d041fa3c,2026-07-24,claude,claude-sonnet-5,d3f2ea66-9c78-4c6e-b1d7-810c0a03e4cb,,"project-knowledge-intake: create a second project Project Knowledge lane, backfilled from already-processed M2 sources, distinguishing durable project knowledge from person-specific judgment, deciding which QA docs have enough concrete content to create versus record no_change, cross-reference the person development plan, cascade closure, mirror snapshot",2026-07-24T05:49:09.913Z,2026-07-24T12:38:36.411Z,409.44,24888,2473670,260155817,570384,0,263224759,95.953432,claude_log,high,
session-claude-task-2026-07-24-4ee43d08,2026-07-24,claude,claude-sonnet-5,d3f2ea66-9c78-4c6e-b1d7-810c0a03e4cb,,queue-backed intake run telemetry closeout,2026-07-24T12:49:08.751Z,2026-07-24T13:35:40.149Z,46.52,386,303657,152668731,198623,0,153171397,49.919836,claude_log,high,
session-claude-task-2026-07-24-d1115e27,2026-07-24,claude,claude-sonnet-5,d3f2ea66-9c78-4c6e-b1d7-810c0a03e4cb,,"project-knowledge: re-mine a full 1to1 transcript line-by-line after user flagged the project knowledge base as under-representing business goals/architecture/core workflows/data integrations, enrich knowledge base and test strategy docs, create a re-mine summary doc, log source_index and evidence_log, cascade closure, mirror snapshot",2026-07-24T13:35:40.149Z,2026-07-24T14:27:26.557Z,51.77,226,277884,45247326,103785,0,45629221,16.173716,claude_log,high,
session-claude-2026-07-24-100cde2b,2026-07-24,claude,claude-sonnet-5,11f53c56-13d7-4b38-bf9a-fe96a632cb3b,,"data-quality repair pass 1: merge duplicate current-state individual_metrics rows for two people across two projects, reconcile a metric-name drift, update a project contribution conclusion from unknown to a supported positive per calibration rules, normalize a non-canonical Pokazatel value on a third project, refresh project registry, evidence_log plus skill-invocation logging, cascade closure, mirror snapshot",2026-07-24T18:31:39.643Z,2026-07-24T19:32:13.293Z,60.56,572,443648,43447888,157932,0,44050040,17.068742,claude_log,high,
session-claude-2026-07-24-07ea974e,2026-07-24,claude,claude-sonnet-5,11f53c56-13d7-4b38-bf9a-fe96a632cb3b,,"data-quality cleanup pass 2: review 15 unreviewed scan-created action_items rows dated with a fabricated placeholder across four projects, convert vague follow-ups to cadence labels, close one row now answered by pass 1, close three rows made moot by a confirmed project stop, fix one deadline row anchored to the wrong source date, refresh timeline views, cascade closure, mirror snapshot",2026-07-24T18:31:39.643Z,2026-07-24T20:18:57.936Z,107.30,654,531831,55233581,204873,0,55970939,21.639498,claude_log,high,
session-claude-2026-07-24-96d12adf,2026-07-24,claude,claude-sonnet-5,11f53c56-13d7-4b38-bf9a-fe96a632cb3b,,"data-quality cleanup pass 2: review 15 unreviewed scan-created action_items rows dated with a fabricated placeholder across four projects, convert vague follow-ups to cadence labels, close one row now answered by pass 1, close three rows made moot by a confirmed project stop, fix one deadline row anchored to the wrong source date, refresh timeline views, cascade closure, mirror snapshot",2026-07-24T18:31:39.643Z,2026-07-24T20:19:40.197Z,108.01,668,536835,57409205,208932,0,58155640,22.371877,claude_log,high,
session-claude-task-2026-07-24-49a07a8c,2026-07-24,claude,claude-sonnet-5,11f53c56-13d7-4b38-bf9a-fe96a632cb3b,,queue-backed intake run telemetry closeout,2026-07-24T20:56:06.692Z,2026-07-24T21:11:53.275Z,15.78,120,44757,27878320,23905,0,27947102,8.890270,claude_log,high,
session-claude-task-2026-07-24-4c6a5b38,2026-07-24,claude,claude-sonnet-5,11f53c56-13d7-4b38-bf9a-fe96a632cb3b,,queue-backed intake run telemetry closeout,2026-07-24T20:56:06.692Z,2026-07-24T21:11:53.275Z,15.78,120,44757,27878320,23905,0,27947102,8.890270,claude_log,high,
session-claude-task-2026-07-24-f76c3c3a,2026-07-24,claude,claude-sonnet-5,11f53c56-13d7-4b38-bf9a-fe96a632cb3b,,"grouped people_case_chat intake - secondary run, no_change outcome",2026-07-24T20:56:06.692Z,2026-07-24T21:11:53.275Z,15.78,120,44757,27878320,23905,0,27947102,8.890270,claude_log,high,
session-claude-task-2026-07-24-47460df2,2026-07-24,claude,claude-sonnet-5,11f53c56-13d7-4b38-bf9a-fe96a632cb3b,,queue-backed intake run telemetry closeout,2026-07-24T20:56:06.692Z,2026-07-24T21:11:53.275Z,15.78,120,44757,27878320,23905,0,27947102,8.890270,claude_log,high,
session-claude-2026-08-07-1d76546f,2026-08-07,claude,claude-sonnet-5,70536bce-e8cf-4f1c-b2eb-5c647c3a069d,,"project knowledge base restructuring for two large project docs (sub-headings, dedup) and a folder-placement fix for two smaller projects, plus a qa-retro pass and a telemetry root-cause investigation and fix",2026-08-07T05:54:58.595Z,2026-08-07T07:18:52.302Z,83.90,2682,1006372,134464136,360815,0,135834005,49.533407,claude_log,high,
session-claude-2026-08-07-4d3b8ede,2026-08-07,claude,claude-sonnet-5,a270def4-bf11-4091-9be0-9db7df07b247,,"Backfilled after a 2-week telemetry recording gap (root cause fixed in repo commit 6e76418). Reconstructed from real repo commits made during this sessions own time window, not contemporaneous notes. Commits: Clarify automation metric layering: project-process, not individual, feat(metrics): add production bug leakage QA-process metric, docs(metrics): add QA metrics catalog and signal-based usage rules",2026-07-26T18:49:56.752Z,2026-07-26T21:25:33.022Z,155.60,14108,974435,144191688,390978,0,145571209,52.818632,claude_log,high,"backfill pass 2026-08-07 after the telemetry recording gap (see repo commit 6e76418) - objective reconstructed from evidence, not contemporaneous"
session-claude-2026-08-07-dbdb7c35,2026-08-07,claude,claude-sonnet-5,c315700b-5673-4145-8475-50c34867154f,,"Backfilled after a 2-week telemetry recording gap (root cause fixed in repo commit 6e76418). Reconstructed from real repo commits made during this sessions own time window, not contemporaneous notes. Commits: fix(pylance): resolve type-checker errors across scripts and tests, telemetry: closeout row for a completed queue-backed intake run, chore: ignore .vscode/ (local Python interpreter config, not shared)",2026-07-27T05:44:33.128Z,2026-07-27T06:18:10.938Z,33.63,326,156578,11245683,41253,0,11443840,4.580645,claude_log,high,"backfill pass 2026-08-07 after the telemetry recording gap (see repo commit 6e76418) - objective reconstructed from evidence, not contemporaneous"
session-claude-2026-08-07-bd2de6f6,2026-08-07,claude,claude-sonnet-5,f181f098-7e7e-4b43-b4ff-a89f951697bc,,"Backfilled after a 2-week telemetry recording gap (root cause fixed in repo commit 6e76418). No repo commits fall within this sessions own time window, so its real activity (most likely Drive-only M1/M2/Project Knowledge work with no code/skill changes) is not independently reconstructable here without risking real business data content in a public repo file. Token/timing telemetry itself is real, extracted from the local session log, not estimated.",2026-07-27T06:23:17.656Z,2026-07-27T06:48:03.560Z,24.77,98,245117,3503428,48888,0,3797531,2.703831,claude_log,high,"backfill pass 2026-08-07 after the telemetry recording gap (see repo commit 6e76418) - objective reconstructed from evidence, not contemporaneous"
session-claude-2026-08-07-84e40ca7,2026-08-07,claude,claude-sonnet-5,ccfffdaa-470b-47d8-8564-30396d61c25e,,"Backfilled after a 2-week telemetry recording gap (root cause fixed in repo commit 6e76418). Reconstructed from real repo commits made during this sessions own time window, not contemporaneous notes. Commits: fix(workspace): align M2 1to1 contract with private layout, feat(agent): add Claude skill discovery adapter, test(safety): remove sensitive identifiers from negative guards, fix(safety): replace business identifiers with synthetic fixtures, fix(safety): replace registered identifiers in public examples, feat(safety): scan the full commit candidate for registered identifiers, refactor(context): make AGENTS.md a compact startup router, and 7 more commits in this window",2026-07-27T07:13:26.981Z,2026-07-27T19:31:09.820Z,737.71,3929,6068373,907327553,1792784,0,915192639,321.858212,claude_log,high,"backfill pass 2026-08-07 after the telemetry recording gap (see repo commit 6e76418) - objective reconstructed from evidence, not contemporaneous"
session-claude-2026-08-07-0166fc06,2026-08-07,claude,claude-sonnet-5,3fbfc6ef-f9f8-426e-a91c-21475bf62e37,,"Backfilled after a 2-week telemetry recording gap (root cause fixed in repo commit 6e76418). No repo commits fall within this sessions own time window, so its real activity (most likely Drive-only M1/M2/Project Knowledge work with no code/skill changes) is not independently reconstructable here without risking real business data content in a public repo file. Token/timing telemetry itself is real, extracted from the local session log, not estimated.",2026-07-27T19:44:10.189Z,2026-07-27T20:21:43.845Z,37.56,407,476063,28413507,155420,0,29045397,12.641809,claude_log,high,"backfill pass 2026-08-07 after the telemetry recording gap (see repo commit 6e76418) - objective reconstructed from evidence, not contemporaneous"
session-claude-2026-08-07-f2af6da9,2026-08-07,claude,claude-sonnet-5,afacddc5-dce9-4358-b12b-22dcb9d8ecd3,,"Backfilled after a 2-week telemetry recording gap (root cause fixed in repo commit 6e76418). Reconstructed from real repo commits made during this sessions own time window, not contemporaneous notes. Commits: feat(m2-timeline): support Calendar date-range windows and a two-color deadline/weekly-review scheme, feat(graph): wire pk_knowledge_base into the standard M2 intake pipeline, fix(retro): close out conversational intake sources, warn on concurrent mirror commits",2026-07-27T20:34:26.836Z,2026-07-28T09:52:30.558Z,798.06,3094,1604012,283343840,632904,0,285583850,100.521039,claude_log,high,"backfill pass 2026-08-07 after the telemetry recording gap (see repo commit 6e76418) - objective reconstructed from evidence, not contemporaneous"
session-claude-2026-08-07-5ccccea9,2026-08-07,claude,claude-sonnet-5,9558d22b-5133-4b6d-9689-a56ef039c130,,"Backfilled after a 2-week telemetry recording gap (root cause fixed in repo commit 6e76418). No repo commits fall within this sessions own time window, so its real activity (most likely Drive-only M1/M2/Project Knowledge work with no code/skill changes) is not independently reconstructable here without risking real business data content in a public repo file. Token/timing telemetry itself is real, extracted from the local session log, not estimated.",2026-07-28T09:59:44.835Z,2026-07-28T10:13:09.719Z,13.41,84,268212,2851524,17057,0,3136877,2.117359,claude_log,high,"backfill pass 2026-08-07 after the telemetry recording gap (see repo commit 6e76418) - objective reconstructed from evidence, not contemporaneous"
session-claude-2026-08-07-5065bedd,2026-08-07,claude,claude-sonnet-5,891b5491-e3bf-42dc-ac8c-4a1b269d6fe4,,"Backfilled after a 2-week telemetry recording gap (root cause fixed in repo commit 6e76418). Reconstructed from real repo commits made during this sessions own time window, not contemporaneous notes. Commits: chore: ignore .playwright-mcp scratch directory, chore: add project-level Playwright MCP server config, skills: capture live-investigation source patterns in project-knowledge-intake",2026-07-28T10:13:41.978Z,2026-07-29T09:35:38.325Z,1401.94,3422,5332540,733545912,1104866,0,739986740,256.644055,claude_log,high,"backfill pass 2026-08-07 after the telemetry recording gap (see repo commit 6e76418) - objective reconstructed from evidence, not contemporaneous"
session-claude-2026-08-07-eee03d6c,2026-08-07,claude,claude-sonnet-5,f6143844-7e8d-43ae-98f6-8c8e9de4c14d,,"Backfilled after a 2-week telemetry recording gap (root cause fixed in repo commit 6e76418). No repo commits fall within this sessions own time window, so its real activity (most likely Drive-only M1/M2/Project Knowledge work with no code/skill changes) is not independently reconstructable here without risking real business data content in a public repo file. Token/timing telemetry itself is real, extracted from the local session log, not estimated.",2026-07-29T10:01:11.389Z,2026-07-29T14:08:33.835Z,247.37,7350,4097766,470410960,892255,0,475408331,169.895785,claude_log,high,"backfill pass 2026-08-07 after the telemetry recording gap (see repo commit 6e76418) - objective reconstructed from evidence, not contemporaneous"
session-claude-2026-08-07-0e98f655,2026-08-07,claude,claude-sonnet-5,3ea1dee5-d4c9-40fe-970a-ac935189bf02,,"Backfilled after a 2-week telemetry recording gap (root cause fixed in repo commit 6e76418). No repo commits fall within this sessions own time window, so its real activity (most likely Drive-only M1/M2/Project Knowledge work with no code/skill changes) is not independently reconstructable here without risking real business data content in a public repo file. Token/timing telemetry itself is real, extracted from the local session log, not estimated.",2026-07-29T14:15:38.182Z,2026-07-29T14:25:05.448Z,9.45,11898,192996,5511761,41122,0,5757777,3.029787,claude_log,high,"backfill pass 2026-08-07 after the telemetry recording gap (see repo commit 6e76418) - objective reconstructed from evidence, not contemporaneous"
session-claude-2026-08-07-d6ee54ac,2026-08-07,claude,claude-sonnet-5,fbce09cb-1f2a-419c-8640-6df4bd3cd04a,,"Backfilled after a 2-week telemetry recording gap (root cause fixed in repo commit 6e76418). Reconstructed from real repo commits made during this sessions own time window, not contemporaneous notes. Commits: skills: resolve local Drive-mirror paths via API instead of browser automation, chat-style: add candidate/project-fit reply framing rule, skills: restrict live-browser fallback to credential-gated external systems",2026-07-29T18:08:30.166Z,2026-07-29T21:25:47.142Z,197.28,1106,1170663,202272244,408221,0,203852234,71.198292,claude_log,high,"backfill pass 2026-08-07 after the telemetry recording gap (see repo commit 6e76418) - objective reconstructed from evidence, not contemporaneous"
session-claude-2026-08-07-d3eee820,2026-08-07,claude,claude-sonnet-5,155ae7a9-83de-46e4-8688-86d447e8e311,,"Backfilled after a 2-week telemetry recording gap (root cause fixed in repo commit 6e76418). No repo commits fall within this sessions own time window, so its real activity (most likely Drive-only M1/M2/Project Knowledge work with no code/skill changes) is not independently reconstructable here without risking real business data content in a public repo file. Token/timing telemetry itself is real, extracted from the local session log, not estimated.",2026-07-30T05:58:44.346Z,2026-07-30T15:05:35.471Z,546.85,2036,4851404,456959065,765216,0,462577721,166.764832,claude_log,high,"backfill pass 2026-08-07 after the telemetry recording gap (see repo commit 6e76418) - objective reconstructed from evidence, not contemporaneous"
session-claude-2026-08-07-f2f2add0,2026-08-07,claude,claude-sonnet-5,26546a27-c672-478c-92e1-9b57d65a6978,,"Backfilled after a 2-week telemetry recording gap (root cause fixed in repo commit 6e76418). No repo commits fall within this sessions own time window, so its real activity (most likely Drive-only M1/M2/Project Knowledge work with no code/skill changes) is not independently reconstructable here without risking real business data content in a public repo file. Token/timing telemetry itself is real, extracted from the local session log, not estimated.",2026-07-30T17:34:33.111Z,2026-07-30T19:02:52.955Z,88.33,844,589698,48090203,224226,0,48904971,20.004350,claude_log,high,"backfill pass 2026-08-07 after the telemetry recording gap (see repo commit 6e76418) - objective reconstructed from evidence, not contemporaneous"
session-claude-2026-08-07-4b153345,2026-08-07,claude,claude-sonnet-5,5028ddc6-dfa7-481b-9718-e68727dc846b,,"Backfilled after a 2-week telemetry recording gap (root cause fixed in repo commit 6e76418). No repo commits fall within this sessions own time window, so its real activity (most likely Drive-only M1/M2/Project Knowledge work with no code/skill changes) is not independently reconstructable here without risking real business data content in a public repo file. Token/timing telemetry itself is real, extracted from the local session log, not estimated.",2026-07-30T19:22:12.706Z,2026-07-30T20:47:13.735Z,85.02,738,637937,72417468,252110,0,73308253,27.901368,claude_log,high,"backfill pass 2026-08-07 after the telemetry recording gap (see repo commit 6e76418) - objective reconstructed from evidence, not contemporaneous"
session-claude-2026-08-07-33d49a6e,2026-08-07,claude,claude-sonnet-5,e1c594f6-cfd1-4394-bb1a-b51ec81c642e,,"Backfilled after a 2-week telemetry recording gap (root cause fixed in repo commit 6e76418). No repo commits fall within this sessions own time window, so its real activity (most likely Drive-only M1/M2/Project Knowledge work with no code/skill changes) is not independently reconstructable here without risking real business data content in a public repo file. Token/timing telemetry itself is real, extracted from the local session log, not estimated.",2026-08-04T13:07:18.528Z,2026-08-04T13:17:26.422Z,10.13,74,119713,2207220,33080,0,2360087,1.607512,claude_log,high,"backfill pass 2026-08-07 after the telemetry recording gap (see repo commit 6e76418) - objective reconstructed from evidence, not contemporaneous"
session-claude-2026-08-07-9dd961ce,2026-08-07,claude,claude-sonnet-5,c7b7d51c-4642-4e4d-9084-7356b65c1bec,,"Backfilled after a 2-week telemetry recording gap (root cause fixed in repo commit 6e76418). No repo commits fall within this sessions own time window, so its real activity (most likely Drive-only M1/M2/Project Knowledge work with no code/skill changes) is not independently reconstructable here without risking real business data content in a public repo file. Token/timing telemetry itself is real, extracted from the local session log, not estimated.",2026-08-03T12:48:30.740Z,2026-08-04T13:28:39.796Z,1480.15,1454,2189532,277962173,582067,0,280735226,100.334764,claude_log,high,"backfill pass 2026-08-07 after the telemetry recording gap (see repo commit 6e76418) - objective reconstructed from evidence, not contemporaneous"
session-claude-2026-08-07-b4ac79bc,2026-08-07,claude,claude-sonnet-5,6b41e7f0-1bbc-4dd9-b136-064fd0b10acb,,"Backfilled after a 2-week telemetry recording gap (root cause fixed in repo commit 6e76418). No repo commits fall within this sessions own time window, so its real activity (most likely Drive-only M1/M2/Project Knowledge work with no code/skill changes) is not independently reconstructable here without risking real business data content in a public repo file. Token/timing telemetry itself is real, extracted from the local session log, not estimated.",2026-08-04T14:00:46.521Z,2026-08-04T16:57:36.943Z,176.84,416,1098259,33661880,148439,0,34908994,16.444868,claude_log,high,"backfill pass 2026-08-07 after the telemetry recording gap (see repo commit 6e76418) - objective reconstructed from evidence, not contemporaneous"
session-claude-2026-08-07-b4b05b10,2026-08-07,claude,claude-sonnet-5,4edd7566-c067-4382-a44e-b2897ca0d1f5,,"Backfilled after a 2-week telemetry recording gap (root cause fixed in repo commit 6e76418). No repo commits fall within this sessions own time window, so its real activity (most likely Drive-only M1/M2/Project Knowledge work with no code/skill changes) is not independently reconstructable here without risking real business data content in a public repo file. Token/timing telemetry itself is real, extracted from the local session log, not estimated.",2026-08-05T17:43:48.290Z,2026-08-05T18:48:22.892Z,64.58,451,464842,29832989,168196,0,30466478,13.217347,claude_log,high,"backfill pass 2026-08-07 after the telemetry recording gap (see repo commit 6e76418) - objective reconstructed from evidence, not contemporaneous"
session-claude-2026-08-07-3b0b7031,2026-08-07,claude,claude-sonnet-5,8350bd05-d213-4684-9f10-1ffd6f97a9af,,"Backfilled after a 2-week telemetry recording gap (root cause fixed in repo commit 6e76418). No repo commits fall within this sessions own time window, so its real activity (most likely Drive-only M1/M2/Project Knowledge work with no code/skill changes) is not independently reconstructable here without risking real business data content in a public repo file. Token/timing telemetry itself is real, extracted from the local session log, not estimated.",2026-08-06T12:45:10.187Z,2026-08-06T12:55:06.964Z,9.95,1024,110283,1448665,22016,0,1581988,1.181473,claude_log,high,"backfill pass 2026-08-07 after the telemetry recording gap (see repo commit 6e76418) - objective reconstructed from evidence, not contemporaneous"
session-claude-2026-08-07-067316f8,2026-08-07,claude,claude-sonnet-5,fc76682a-bc47-429c-8f41-5cd43e51cfe0,,"Backfilled after a 2-week telemetry recording gap (root cause fixed in repo commit 6e76418). Reconstructed from real repo commits made during this sessions own time window, not contemporaneous notes. Commits: Add project inactive status, apply project closure, scrub leaked project data, Remove Status column from _project_registry, Rename individual_metrics_internal to individual_risk, single-row shape, Redesign project_risk from dated-snapshot log to living single-row Sheet, Add formal third-person style rule for M2 monthly report comments, Add monthly narrative variant to m2-project-status-report, and 3 more commits in this window",2026-08-05T08:33:31.667Z,2026-08-06T11:36:35.333Z,1623.06,9086,2885370,535625853,1037362,0,539557671,187.095581,claude_log,high,"backfill pass 2026-08-07 after the telemetry recording gap (see repo commit 6e76418) - objective reconstructed from evidence, not contemporaneous"
session-claude-2026-08-07-f0568c44,2026-08-07,claude,claude-sonnet-5,d9dc70bc-2361-46ba-a53f-c6c472d3f7e3,,"Backfilled after a 2-week telemetry recording gap (root cause fixed in repo commit 6e76418). Reconstructed from real repo commits made during this sessions own time window, not contemporaneous notes. Commits: Update skills docs: gitlab-pipeline-dashboard-ops, m2 report contracts, sandbox/SecretStore notes",2026-08-06T21:01:00.158Z,2026-08-06T22:30:52.470Z,89.87,12468,812222,97783431,294981,0,98903102,36.842981,claude_log,high,"backfill pass 2026-08-07 after the telemetry recording gap (see repo commit 6e76418) - objective reconstructed from evidence, not contemporaneous"
session-claude-2026-08-12-8a1d37ea,2026-08-12,claude,claude-sonnet-5,ecba342b-cb93-4a07-8e53-e18a8ed4513a,,"Multiple project-knowledge intake passes (KB creation x2), one M2 case-apply rollup, one source-verification/archive pass, one status-meeting intake with a PM-case addition",2026-08-12T07:30:26.422Z,2026-08-12T08:47:05.051Z,76.64,35781,779306,68870418,304135,0,69989640,28.252891,claude_log,high,
session-claude-2026-08-12-cad63d8e,2026-08-12,claude,claude-sonnet-5,ecba342b-cb93-4a07-8e53-e18a8ed4513a,,"new M2 project onboarding intake - project folder scaffold, 1to1 processing, PK and case routing, telemetry dual-write verification",2026-08-12T07:30:26.422Z,2026-08-12T17:55:12.052Z,624.76,39485,4949338,1060776092,1534051,0,1067298966,359.922065,claude_log,high,
